case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-103509,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Public Space,2,4,Wooden Stick,Spontaneous Argument,0,Fatal (Death),"gunshot, motive, dead body found, murder",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Acquittal,7,Low
CP-CASE-103510,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 115526 stolen.",Theft & Burglary,Public Space,3,2,None,Personal Vendetta,115526,None,"jewelry, broken lock, locker forced",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,31,High
CP-CASE-103511,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1321260 for his release.,Kidnapping & Abduction,Public Space,1,1,Firearm / Pistol,Spontaneous Argument,1321260,None,"missing child, forced custody, kidnap, unidentified vehicle",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,27,High
CP-CASE-103512,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Digital / Online,3,4,Iron Rod,Accidental / Negligence,0,Moderate (Stitch/Sprain),"fight, stab wound, beating, physical attack",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,41,High
CP-CASE-103513,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Commercial,1,3,Iron Rod,Property Dispute,5407,None,"missing child, abduction, forced custody, ransom call, extortion demand",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,28,High
CP-CASE-103514,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Residential,2,4,None,Spontaneous Argument,0,Fatal (Death),"gunshot, autopsy report, motive, dead body found, murder",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,10,High
CP-CASE-103515,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Residential,3,4,Chemical Poison,Financial Gain,0,Severe (Fracture/Deep Cuts),"beating, iron rod, hospitalized, bruises",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,15,High
CP-CASE-103516,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Public Space,1,2,None,Property Dispute,0,Minor (Scratches/Bruises),"fight, beating, physical attack",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,40,High
CP-CASE-103517,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Residential,1,1,Kitchen Knife,Personal Vendetta,0,None,"bruises, hospitalized, broken arm",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,35,High
CP-CASE-103518,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Commercial,3,4,None,Property Dispute,296078,None,"ransomware, online scam, fake profile",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,45,Medium
CP-CASE-103519,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Digital / Online,2,3,Iron Rod,Accidental / Negligence,0,Fatal (Death),"motive, strangulation, stabbed to death",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,20,Low
CP-CASE-103520,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 525844.,Cyber Crime & Fraud,Rural Area,3,3,None,Accidental / Negligence,525844,None,"fake website, unauthorized transaction, fake profile, ransomware",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,29,Low
CP-CASE-103521,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1663755.,Cyber Crime & Fraud,Residential,1,2,None,Jealousy / Crime of Passion,1663755,None,"email hacking, phishing, online scam",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,40,High
CP-CASE-103522,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1263105 reported.,Cyber Crime & Fraud,Commercial,3,4,None,Jealousy / Crime of Passion,1263105,None,"fake profile, email hacking, fake website",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,37,Medium
CP-CASE-103523,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Commercial,2,2,Wooden Stick,Personal Vendetta,1591810,None,"missing child, abduction, unidentified vehicle",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,48,Medium
CP-CASE-103524,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 1275145 cash were stolen.",Theft & Burglary,Residential,2,4,None,Property Dispute,1275145,None,"robbery, thief, locker forced",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,30,Low
CP-CASE-103525,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Rural Area,3,3,Wooden Stick,Accidental / Negligence,40619,None,"forced custody, missing child, unidentified vehicle",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,30,High
CP-CASE-103526,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 241330 cash were stolen.",Theft & Burglary,Public Space,3,3,None,Personal Vendetta,241330,None,"broken lock, jewelry, thief, missing cash",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,9,Low
CP-CASE-103527,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Public Space,2,3,Iron Rod,Accidental / Negligence,0,Fatal (Death),"motive, homicide, stabbed to death, strangulation, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Referred to Mediation,48,Low
CP-CASE-103528,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 495341.,Theft & Burglary,Public Space,1,4,None,Jealousy / Crime of Passion,495341,None,"house break, jewelry, gold chain, robbery, thief",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,42,Medium
CP-CASE-103529,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 878519 cash were stolen.",Theft & Burglary,Public Space,3,4,None,Spontaneous Argument,878519,None,"broken lock, steal, jewelry, robbery",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,38,Low
CP-CASE-103530,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Rural Area,3,4,Wooden Stick,Spontaneous Argument,0,Moderate (Stitch/Sprain),"stab wound, bleeding, broken arm, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,23,Medium
CP-CASE-103531,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Rural Area,2,1,Kitchen Knife,Spontaneous Argument,0,Fatal (Death),"motive, dead body found, gunshot, autopsy report, strangulation",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Acquittal,43,High
CP-CASE-103532,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 155018 stolen.",Theft & Burglary,Digital / Online,1,1,None,Jealousy / Crime of Passion,155018,None,"locker forced, night burglary, gold chain",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,8,Medium
CP-CASE-103533,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Digital / Online,3,4,None,Jealousy / Crime of Passion,939324,None,"cloned identity, online scam, phishing",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,43,High
CP-CASE-103534,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 125176 reported.,Cyber Crime & Fraud,Commercial,3,1,None,Accidental / Negligence,125176,None,"phishing, fake profile, credit card fraud, online scam, fake website",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,21,High
CP-CASE-103535,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,2,1,None,Spontaneous Argument,1075984,None,"broken lock, locker forced, house break",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,20,Medium
CP-CASE-103536,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Residential,3,1,Kitchen Knife,Jealousy / Crime of Passion,0,Fatal (Death),"broken arm, beating, scuffle, iron rod, physical attack",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,7,High
CP-CASE-103537,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Rural Area,2,1,Wooden Stick,Spontaneous Argument,0,Fatal (Death),"fight, stab wound, iron rod, beating",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,43,Medium
CP-CASE-103538,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Commercial,1,3,Country-made Gun,Jealousy / Crime of Passion,0,Fatal (Death),"dead body found, poisoning, gunshot, motive",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,19,High
CP-CASE-103539,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Commercial,1,1,Wooden Stick,Spontaneous Argument,0,None,"iron rod, broken arm, bleeding, scuffle",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,47,High
CP-CASE-103540,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,1,1,None,Financial Gain,1694350,None,"extortion demand, abducted from school, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Settled / Compromised,48,High
CP-CASE-103541,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,4,None,Spontaneous Argument,0,Fatal (Death),"dead body found, stabbed to death, autopsy report",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,11,High
CP-CASE-103542,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Digital / Online,3,3,Kitchen Knife,Jealousy / Crime of Passion,0,Minor (Scratches/Bruises),"broken arm, scuffle, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,8,Low
CP-CASE-103543,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 1641561 from their bank account.",Cyber Crime & Fraud,Rural Area,3,2,None,Spontaneous Argument,1641561,None,"ransomware, unauthorized transaction, forged signature",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,12,High
CP-CASE-103544,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1305796.,Cyber Crime & Fraud,Public Space,1,3,None,Property Dispute,1305796,None,"cloned identity, forged signature, ransomware, online scam, credit card fraud",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,23,Low
CP-CASE-103545,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Residential,2,3,Kitchen Knife,Financial Gain,0,Fatal (Death),"stabbed to death, dead body found, murder",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Acquittal,14,Low
CP-CASE-103546,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 54174 from their bank account.",Cyber Crime & Fraud,Commercial,1,4,None,Spontaneous Argument,54174,None,"ransomware, credit card fraud, fake website",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,12,High
CP-CASE-103547,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,2,2,None,Personal Vendetta,1242721,None,"night burglary, broken lock, jewelry",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Referred to Mediation,35,Medium
CP-CASE-103548,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Digital / Online,1,2,None,Financial Gain,232492,None,"email hacking, unauthorized transaction, forged signature, fake profile, online scam",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,10,Medium
CP-CASE-103549,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1212896 reported.,Cyber Crime & Fraud,Residential,1,3,None,Personal Vendetta,1212896,None,"fake profile, forged signature, unauthorized transaction, cloned identity",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,13,Medium
CP-CASE-103550,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 521397 reported.,Cyber Crime & Fraud,Residential,2,2,None,Property Dispute,521397,None,"fake website, credit card fraud, unauthorized transaction, online scam",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,8,Medium
CP-CASE-103551,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Residential,3,1,None,Property Dispute,630677,None,"cloned identity, unauthorized transaction, fake profile, ransomware, email hacking",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,12,Medium
CP-CASE-103552,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Residential,1,3,Firearm / Pistol,Accidental / Negligence,1145622,None,"missing child, extortion demand, kidnap, abduction",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Acquittal,28,Medium
CP-CASE-103553,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 995285 reported.,Cyber Crime & Fraud,Digital / Online,3,3,None,Spontaneous Argument,995285,None,"unauthorized transaction, forged signature, online scam, fake website, email hacking",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Conviction,25,High
CP-CASE-103554,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 761819.,Cyber Crime & Fraud,Rural Area,3,1,None,Financial Gain,761819,None,"fake website, forged signature, online scam, phishing",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Acquittal,42,Medium
CP-CASE-103555,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Public Space,1,1,None,Accidental / Negligence,0,Moderate (Stitch/Sprain),"bruises, scuffle, fight, stab wound",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,31,High
CP-CASE-103556,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,2,4,Iron Rod,Accidental / Negligence,447602,None,"ransom call, forced custody, held hostage, kidnap, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,18,High
CP-CASE-103557,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 706542.,Cyber Crime & Fraud,Residential,2,2,None,Personal Vendetta,706542,None,"phishing, unauthorized transaction, ransomware",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,8,High
CP-CASE-103558,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 455868 cash were stolen.",Theft & Burglary,Digital / Online,1,1,None,Financial Gain,455868,None,"missing cash, night burglary, robbery, thief",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,6,Medium
CP-CASE-103559,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Residential,1,1,Kitchen Knife,Accidental / Negligence,1386806,None,"unidentified vehicle, held hostage, ransom call",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Settled / Compromised,14,Low
CP-CASE-103560,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,2,3,None,Personal Vendetta,1772529,None,"gold chain, jewelry, thief, night burglary, missing cash",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,48,Low
CP-CASE-103561,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Commercial,2,2,Wooden Stick,Jealousy / Crime of Passion,0,Fatal (Death),"beating, stab wound, bleeding",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,15,High
CP-CASE-103562,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Public Space,1,1,None,Jealousy / Crime of Passion,0,Fatal (Death),"iron rod, scuffle, bruises",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,20,Medium
CP-CASE-103563,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 763251.,Cyber Crime & Fraud,Public Space,2,1,None,Jealousy / Crime of Passion,763251,None,"phishing, email hacking, cloned identity, fake profile, online scam",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Acquittal,32,Medium
CP-CASE-103564,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Commercial,3,1,Country-made Gun,Accidental / Negligence,0,None,"fight, scuffle, bruises",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,23,High
CP-CASE-103565,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1377522 reported.,Cyber Crime & Fraud,Residential,3,3,None,Spontaneous Argument,1377522,None,"fake website, forged signature, ransomware, unauthorized transaction",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,34,Low
CP-CASE-103566,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 761724.,Theft & Burglary,Rural Area,1,3,None,Spontaneous Argument,761724,None,"thief, gold chain, night burglary, missing cash",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,25,Low
CP-CASE-103567,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 1296301 stolen.",Theft & Burglary,Digital / Online,1,1,None,Personal Vendetta,1296301,None,"broken lock, steal, robbery, thief",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,30,Medium
CP-CASE-103568,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Public Space,3,4,Wooden Stick,Accidental / Negligence,0,None,"broken arm, scuffle, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,36,Medium
CP-CASE-103569,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Public Space,3,3,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"bruises, beating, bleeding, hospitalized, iron rod",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,46,Low
CP-CASE-103570,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Commercial,2,2,Chemical Poison,Property Dispute,1402636,None,"abducted from school, abduction, missing child, unidentified vehicle, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,6,Medium
CP-CASE-103571,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Commercial,1,2,Country-made Gun,Property Dispute,0,Minor (Scratches/Bruises),"physical attack, broken arm, stab wound, hospitalized, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,45,Low
CP-CASE-103572,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 642925.,Cyber Crime & Fraud,Residential,1,3,None,Spontaneous Argument,642925,None,"email hacking, credit card fraud, cloned identity, ransomware",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,12,High
CP-CASE-103573,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,3,1,None,Accidental / Negligence,267566,None,"forged signature, fake profile, phishing, email hacking, cloned identity",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,8,Low
CP-CASE-103574,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,1,None,Personal Vendetta,0,Fatal (Death),"broken arm, bruises, stab wound, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,34,High
CP-CASE-103575,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Commercial,1,2,Country-made Gun,Personal Vendetta,0,Fatal (Death),"autopsy report, murder, motive, strangulation",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,11,High
CP-CASE-103576,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,2,3,Country-made Gun,Accidental / Negligence,0,Fatal (Death),"strangulation, autopsy report, stabbed to death, fatal attack, poisoning",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,32,Low
